id,Predicted
0,neutral
1,surprise
2,non-neutral
3,neutral
4,non-neutral
5,non-neutral
6,neutral
7,non-neutral
8,non-neutral
9,neutral
10,anger
11,neutral
12,non-neutral
13,non-neutral
14,joy
15,surprise
16,sadness
17,surprise
18,non-neutral
19,non-neutral
20,neutral
21,neutral
22,surprise
23,joy
24,joy
25,anger
26,anger
27,anger
28,anger
29,surprise
30,non-neutral
31,non-neutral
32,non-neutral
33,neutral
34,neutral
35,surprise
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,joy
44,neutral
45,surprise
46,non-neutral
47,sadness
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,neutral
59,neutral
60,sadness
61,neutral
62,non-neutral
63,neutral
64,neutral
65,non-neutral
66,neutral
67,surprise
68,non-neutral
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,surprise
77,non-neutral
78,joy
79,joy
80,sadness
81,surprise
82,neutral
83,joy
84,non-neutral
85,non-neutral
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,non-neutral
94,anger
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,joy
103,disgust
104,joy
105,neutral
106,neutral
107,non-neutral
108,neutral
109,non-neutral
110,neutral
111,neutral
112,neutral
113,non-neutral
114,neutral
115,neutral
116,non-neutral
117,non-neutral
118,joy
119,joy
120,surprise
121,neutral
122,anger
123,neutral
124,joy
125,surprise
126,joy
127,joy
128,joy
129,joy
130,neutral
131,surprise
132,neutral
133,non-neutral
134,surprise
135,neutral
136,non-neutral
137,neutral
138,non-neutral
139,neutral
140,neutral
141,neutral
142,joy
143,surprise
144,surprise
145,neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,surprise
158,neutral
159,disgust
160,disgust
161,surprise
162,surprise
163,joy
164,surprise
165,non-neutral
166,sadness
167,sadness
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,anger
174,non-neutral
175,non-neutral
176,neutral
177,non-neutral
178,neutral
179,sadness
180,surprise
181,neutral
182,non-neutral
183,neutral
184,neutral
185,surprise
186,surprise
187,neutral
188,non-neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,non-neutral
205,non-neutral
206,neutral
207,surprise
208,neutral
209,neutral
210,neutral
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,non-neutral
217,neutral
218,neutral
219,non-neutral
220,non-neutral
221,neutral
222,neutral
223,neutral
224,surprise
225,joy
226,sadness
227,neutral
228,surprise
229,neutral
230,non-neutral
231,surprise
232,neutral
233,non-neutral
234,neutral
235,surprise
236,neutral
237,non-neutral
238,surprise
239,non-neutral
240,neutral
241,anger
242,non-neutral
243,non-neutral
244,non-neutral
245,joy
246,non-neutral
247,neutral
248,sadness
249,non-neutral
250,joy
251,joy
252,joy
253,non-neutral
254,surprise
255,anger
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,surprise
266,non-neutral
267,surprise
268,neutral
269,non-neutral
270,non-neutral
271,non-neutral
272,surprise
273,non-neutral
274,non-neutral
275,non-neutral
276,joy
277,neutral
278,neutral
279,neutral
280,non-neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,joy
288,joy
289,joy
290,joy
291,non-neutral
292,neutral
293,neutral
294,non-neutral
295,non-neutral
296,non-neutral
297,non-neutral
298,neutral
299,neutral
300,neutral
301,sadness
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,sadness
309,neutral
310,neutral
311,joy
312,neutral
313,neutral
314,neutral
315,neutral
316,surprise
317,non-neutral
318,surprise
319,neutral
320,neutral
321,surprise
322,non-neutral
323,non-neutral
324,neutral
325,non-neutral
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,non-neutral
335,non-neutral
336,neutral
337,neutral
338,surprise
339,neutral
340,non-neutral
341,non-neutral
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,non-neutral
350,neutral
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,neutral
357,surprise
358,non-neutral
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,non-neutral
370,non-neutral
371,non-neutral
372,joy
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,non-neutral
393,non-neutral
394,non-neutral
395,surprise
396,neutral
397,neutral
398,joy
399,non-neutral
400,non-neutral
401,joy
402,disgust
403,anger
404,joy
405,non-neutral
406,non-neutral
407,non-neutral
408,neutral
409,anger
410,non-neutral
411,non-neutral
412,joy
413,non-neutral
414,neutral
415,neutral
416,sadness
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,non-neutral
424,neutral
425,neutral
426,disgust
427,neutral
428,non-neutral
429,neutral
430,neutral
431,neutral
432,neutral
433,neutral
434,neutral
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,non-neutral
441,neutral
442,neutral
443,neutral
444,non-neutral
445,anger
446,non-neutral
447,neutral
448,non-neutral
449,neutral
450,joy
451,neutral
452,neutral
453,surprise
454,sadness
455,neutral
456,non-neutral
457,neutral
458,non-neutral
459,joy
460,joy
461,non-neutral
462,surprise
463,neutral
464,joy
465,disgust
466,non-neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,surprise
473,anger
474,neutral
475,non-neutral
476,joy
477,joy
478,anger
479,non-neutral
480,surprise
481,surprise
482,non-neutral
483,neutral
484,joy
485,neutral
486,neutral
487,neutral
488,joy
489,neutral
490,neutral
491,joy
492,surprise
493,non-neutral
494,surprise
495,disgust
496,surprise
497,non-neutral
498,joy
499,surprise
500,neutral
501,neutral
502,joy
503,sadness
504,neutral
505,surprise
506,non-neutral
507,non-neutral
508,surprise
509,neutral
510,neutral
511,non-neutral
512,neutral
513,neutral
514,non-neutral
515,surprise
516,non-neutral
517,joy
518,surprise
519,neutral
520,joy
521,surprise
522,neutral
523,neutral
524,neutral
525,neutral
526,surprise
527,neutral
528,neutral
529,joy
530,non-neutral
531,disgust
532,neutral
533,neutral
534,surprise
535,joy
536,neutral
537,neutral
538,joy
539,neutral
540,surprise
541,non-neutral
542,neutral
543,joy
544,neutral
545,surprise
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,non-neutral
552,joy
553,joy
554,joy
555,non-neutral
556,non-neutral
557,neutral
558,surprise
559,neutral
560,non-neutral
561,neutral
562,surprise
563,joy
564,surprise
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,neutral
586,surprise
587,neutral
588,neutral
